id,Name,Types,Cuisine,Address,Time,Rating,Average
D4_0001,Chilli__Lau_Nuong_Tu_Chon,Bistro,Vietnamese,232_Vinh_Khanh,4,3.45,75000
D4_0002,WP'S_Waffle_Place__Banh_To_Ong_Nuong__Ton_That_Thuyet,Bistro,Korean,"66/15/1_Ton_That_Thuyet,_P._16",4,3.7,42500
D4_0003,Ba_Bac__Banh_Trang_Cuon_Tron,Restaurant,Vietnamese,40_Duong_So_11,4,3.35,21500
D4_0004,Ngoc_Nga__Banh_Flan_Thap_Cam__Duong_20_Thuoc,Restaurant,Vietnamese,"F88_Hoang_Dieu,_P._8",4,3.75,7500
D4_0005,Oc_To__Xom_Chieu,Bistro,Vietnamese,"224B_Xom_Chieu,_P._15",4,3.3,42500
D4_0006,Ning_Cha__Tra_Chanh_Hong_Kong__Nguyen_Khoai,Cafe,Vietnamese,"122_Nguyen_Khoai,_P._2",4,3.8,22500
D4_0007,Mi_Oc_Hen_Di_Lan__Ngo_Van_So,Bistro,Vietnamese,"2/4_Ngo_Van_So,_P._13",4,3.25,22500
D4_0008,Banh_Trang_Kep_Di_Hoa__Ton_That_Thuyet,Restaurant,Vietnamese,"209/105_Ton_That_Thuyet,_P._3",4,3.35,15000
D4_0009,Oc_Oanh_1__Vinh_Khanh,Bistro,Vietnamese,"534_Vinh_Khanh,_P._8",4,4.45,132500
D4_0010,Nha_Hang_Thai_Lan_Ngo_Ri__Duong_38,Restaurant,Thailand,"14_Duong_38,_P._4",4,3.5,225000
D4_0011,Quan_Ba_Cham__Hu_Tieu_Ho__Ben_Van_Don,Bistro,Vietnamese,75_Le_Quoc_Hung,4,3.65,25000
D4_0012,Tu_Thuy__Mi_Hen__Ton_That_Thuyet,Restaurant,Vietnamese,"91_Ton_That_Thuyet,_P._16",4,3.35,17500
D4_0013,Di_Hong__Banh_Trang_Cuon_Tron,Restaurant,Vietnamese,23_Duong_So_11,4,3.15,26500
D4_0014,Ba_Co_Loc_Coc__Nha_Hang_Oc_Doc_La,Restaurant,Vietnamese,"222_Khanh_Hoi,_P._6",4,3.45,65000
D4_0015,Uchi_Sushi,Restaurant,Japanese,"14_Duong_So_45,_P._6",4,3.95,85000
D4_0016,"Beno__Mi_Y,_Bo_My,_Com_Bo_Ham__Ben_Van_Don",Bistro,USA,"150/27_Ben_Van_Don,_P._6",4,3.25,32500
D4_0017,Pha_Lau_Di_Nui__Ton_Dan,Bistro,Vietnamese,243/30_Ton_Dan,4,3.2,21500
D4_0018,Bun_Bo_Hue_14B,Bistro,Vietnamese,"14B_Duong_So_46,_P._5",4,4.2,32500
D4_0019,Oc_Dao_II__Vinh_Khanh,Bistro,Vietnamese,"232/123_Vinh_Khanh,_P._10",4,3.2,85500
D4_0020,Co_Thao__Pha_Lau_Bo,Restaurant,Vietnamese,"243/29G_Ton_Dan,_P._15",4,3.1,20000
