id,Name,Types,Cuisine,Address,District,Rating,Average
D8_0001,Shinsen_Sushi__Au_Duong_Lan,Restaurant,Japanese,"178_Au_Duong_Lan,_P._3",8,3.4,57500
D8_0002,Com_Ga_Xoi_Mo_142__Ba_Dinh,Bistro,Vietnamese,"142_Ba_Dinh,_P._10",8,3.45,37500
D8_0003,Pha_Lau_Dong_Dieu,Restaurant,Vietnamese,"54_Pham_Nhu_Tang,_P._4",8,5,24000
D8_0004,Oc_Tuyet__Duong_Ba_Trac,Restaurant,Vietnamese,Hem_456_Duong_Ba_Trac,8,3.35,20000
D8_0005,Oc_10_Gio,Restaurant,Vietnamese,1569_Pham_The_Hien,8,3.4,15000
D8_0006,Papaxot__Pham_Hung,Restaurant,Japanese,"8A_Pham_Hung,_P._4",8,3.65,102500
D8_0007,Artisan_Baked__Banh_Biscotti__Nguyen_Duy,Bakery,Vietnamese,"522/525_Nguyen_Duy,_P._10",8,5,127500
D8_0008,Lu's_Coffee__Pham_Hung,Cafe,Vietnamese,"229B_Pham_Hung,_P._4",8,3.8,25000
D8_0009,La_Hue__Pho_Bo,Bistro,Vietnamese,"2138_Pham_The_Hien,_P._6",8,4.2,20000
D8_0010,Tra_Sua_Xien_Que_Hot_&_Cold__Pham_Hung,Cafe,Vietnamese,"123Bis_Pham_Hung,_P._4",8,3.65,37500
D8_0011,Gia_Han_Coffee__Vo_Liem_Son,Cafe,Vietnamese,"108_Vo_Liem_Son,_P._4",8,4.55,21000
D8_0012,Biscotti__Banh_Hat_Dinh_Duong__Nguyen_Duy,Bakery,Vietnamese,"522/525_Nguyen_Duy,_P._10",8,5,105000
D8_0013,Bun_Dau_Mam_Tom_Nha_Toi__8,Bistro,Vietnamese,"68/21_Pham_The_Hien,_P._1",8,3.55,40000
D8_0014,Banana_Chuoi_7_Mau__Bingsu_&_Trai_Cay,Cafe,Vietnamese,35_Dong_Ho,8,3.6,45000
D8_0015,Xuc_Xich_Duc_Anh_Ba_Tay__Duong_Ba_Trac,Restaurant,Germany,"174_Duong_Ba_Trac,_P._2",8,3.85,107500
D8_0016,Sobin__Mi_Cay_&_Tra_Sua,Bistro,Korean,"45T_Duong_Ba_Trac,_P._1",8,4,50000
D8_0017,Ritaki__Khoai_Lang_Mat__Nguyen_Duy,Restaurant,Vietnamese,"522/525_Nguyen_Duy,_P._10",8,4.7,37500
D8_0018,Lau_Huu_Nghi,Bistro,Vietnamese,"149_Tung_Thien_Vuong,_P._11",8,3.45,135000
D8_0019,Oc_Co_Nam,Restaurant,Vietnamese,432/44/4_Duong_Ba_Trac,8,3.35,25000
D8_0020,Quan_Bangkok__Hu_Tieu_Thai,Bistro,Thailand,"131_Mac_Van,_P._12",8,3.35,48000
