id,Name,Types,Cuisine,Address,District,Rating,Average
D7_0001,Morico__Contemporary_Japanese_Lifestyle__Crescent_Mall,Restaurant,Japanese,"Tang_2_Crescent_Mall,_101_Ton_Dat_Tien,_P._Tan_Phu",7,3.95,117500
D7_0002,Papas'_Chicken__Phu_My_Hung,Restaurant,Korean,"S371_Hung_Vuong_2,_Bui_Bang_Doan",7,3.5,132500
D7_0003,Sumo_BBQ__SC_VivoCity__Buffet_Nuong_&_Lau,Restaurant,Japanese,"Tang_2_Lo_02__39_SC_Vivo_City,_1058_Nguyen_Van_Linh,_KP._1,_P._Tan_Phong",7,4.2,353500
D7_0004,Mr.BBQ__Am_Thuc_Han_Quoc,Restaurant,Korean,137_Ton_Dat_Tien,7,3.6,24000
D7_0005,Pizza_4P’s__Pizza_Kieu_Nhat__Nguyen_Van_Linh,Restaurant,Japanese,"Lo_MD2,_Nguyen_Van_Linh,_P_Tan_Phu",7,4.05,250000
D7_0006,Seol_Hwa__Bingsu_Sua_Bao_Tuyet_Hoa__Sky_Graden,Cafe,Korean,"28/1_Pham_Van_Nghi,_Khu_Pho_Sky_Garden_1,_P._Tan_Phong",7,3.95,135000
D7_0007,Shabu_Ya__SC_VivoCity,Restaurant,Japanese,"Tang_4__SC_VivoCity,_1058_Nguyen_Van_Linh,_KP._1,_P._Tan_Phong",7,3.8,245000
D7_0008,Galbi_Brothers__Nha_Hang_Han_Quoc,Restaurant,Korean,"R1__25_Hung_Phuoc_4,_Pham_Van_Nghi,_P._Tan_Phong",7,3.45,375000
D7_0009,D'Maris__Buffet_Cao_Cap__Lotte_Mart_Nam_Sai_Gon,Restaurant,Korean,"Lau_3_Lotte_Mart_Nam_Sai_Gon,_469_Nguyen_Huu_Tho,_P._Tan_Hung",7,3.85,445000
D7_0010,Kem_Xoi_Dua_Bu_Bu__Duong_So_10,Cafe,Vietnamese,"14_Duong_So_10,_P._Tan_Quy",7,3.6,15000
D7_0011,Buzza_Pizza__Nguyen_Thi_Thap,Restaurant,Italian,"Tang_1,_51__53_Nguyen_Thi_Thap,_P._Tan_Hung",7,4,104000
D7_0012,Marukame_Udon__SC_VivoCity,Restaurant,Japanese,"Tang_2__SC_VivoCity,_1058_Nguyen_Van_Linh,_KP._1,_P._Tan_Phong",7,3.7,115000
D7_0013,The_Coffee_Bean_&_Tea_Leaf__Crescent_Mall,Cafe,USA,"101_Nguyen_Khac_Vien,_P._Tan_Phu",7,3.9,90000
D7_0014,King_BBQ__Vua_Nuong_Han_Quoc__SC_VivoCity,Restaurant,Korean,"0405B_SC_VivoCity,_1058_Nguyen_Van_Linh,_KP._1,_P._Tan_Phong",7,3.65,350000
D7_0015,Tra_Sua_Xien_Que_Hot_&_Cold__Nguyen_Thi_Thap,Cafe,Vietnamese,390A_Nguyen_Thi_Thap,7,3.55,34500
D7_0016,"Yeebo_Di_Buu__Seafood,_Hot_Pot_&_Dimsum__Ho_Ban_Nguyet",Restaurant,Chinese,"109_Ton_Dat_Tien,_P._Tan_Phu",7,3.8,480000
D7_0017,Korea_Grill__Buzza_BBQ_Buffet__Nguyen_Thi_Thap,Restaurant,Korean,"Tang_3,_51__53_Nguyen_Thi_Thap,_P._Tan_Hung",7,4.05,70000
D7_0018,Boomerang_Bistro_Saigon,Restaurant,Vietnamese,"107_Ton_Dat_Tien,_Tan_Phong",7,3.85,375000
D7_0019,Osaka_Ramen_Mi_Nhat__Phu_My_Hung,Restaurant,Japanese,"SD04H,_292_My_Phat,_133_Nguyen_Duc_Canh",7,3.75,87500
D7_0020,Hu_Tieu_Nam_Vang_Tai_Anh__Nguyen_Thi_Thap,Bistro,Vietnamese,"494_Nguyen_Thi_Thap,_P._Tan_Quy",7,3.7,44000
