D1_0001,Monkey In Black Cafe  Tran Quang Khai,Cafe,Vietnamese,263 Tran Quang Khai P. Tan Dinh,1,62500,3.75
D1_0002,Sushi Tei  Ly Tu Trong,Cafe,Japanese,200A Ly Tu Trong (Nga 4 Truong Dinh),1,375000,4.45
D1_0003,Oven Maru Chicken  Am Thuc Han Quoc,Restaurant,Korean,187 Dien Bien Phu P. Da Kao,1,170000,4.1
D1_0004,Beefsteak Ciao Vo Dep  Italian Cuisine,Restaurant,Asian,10 Cao Ba Nha P. Nguyen Cu Trinh,1,115000,3.75
D1_0005,Japanit Matcha  Coffee House  Tran Hung Dao,Restaurant,Japanese,130 Tran Hung Dao P. Pham Ngu Lao,1,95000,3.75
D1_0006,Sul Bingsu  Korean Dessert  Coffee  Nguyen Trai,Bistro,Korean,219 Nguyen Trai P. Nguyen Cu Trinh,1,35000,3.75
D1_0007,Don Chicken  Nha Hang Ga Nuong Han Quoc  Ho Tung Mau,Cafe,Korean,25 Ho Tung Mau (Goc Ham Nghi),1,275000,3.7
D1_0008,Xoi Che Bui Thi Xuan  Bui Thi Xuan,Cafe,Vietnamese,111 Bui Thi Xuan P. Pham Ngu Lao,1,40000,3.15
D1_0009,Kem Häagen Dazs  Dong Du,Restaurant,Japanese,58 Dong Du P. Ben Nghe,1,160000,3.85
D1_0010,Sushi  BBQ Miya,Restaurant,Japanese,150/26 Nguyen Trai,1,95000,3.85
D1_0011,Kem Swensen  Nguyen Thai Hoc,Restaurant,USA,73 Nguyen Thai Hoc P. Cau Ong Lanh,1,124500,3.65
D1_0012,Ocean Palace  Am Thuc Trung Hoa,Cafe,Chinese,2 Le Duan,1,350000,3.65
D1_0013,Miyama  Modern Tokyo Restaurant Cafe  Saigon Centre,Bistro,Japanese,L3  01 Saigon Centre 65 Le Loi P. Ben Nghe,1,225000,4.05
D1_0014,48 Bistro  Beefsteak  Mon Au  Le Thi Rieng,Cafe,Asian,52 Le Thi Rieng,1,210000,3.55
D1_0015,Snow Bings  Bingsu Kem Tuyet,Restaurant,Vietnamese,169 Nguyen Cu Trinh,1,27500,3.8
D1_0016,Tra Sua Tien Huong  Cong Quynh,Restaurant,Asian,A36 Cong Quynh P. Nguyen Cu Trinh,1,34000,3.6
D1_0017,Che Khuc Bach Thanh  Tran Quang Khai,Cafe,Vietnamese,68/210 Tran Quang Khai P. Tan Dinh,1,26500,3.45
D1_0018,Bun Dau Co Khan  Mon Bac Binh Dan,Bistro,Vietnamese,102/26 Cong Quynh P. Pham Ngu Lao,1,85000,4
D1_0019,Lau Bo Ti Chuot,Restaurant,Vietnamese,1  3 Cao Ba Nha P. Nguyen Cu Trinh,1,61500,3.4
D1_0020,Papaxot  Nguyen Trai,Cafe,Japanese,214 Bis Nguyen Trai P. Nguyen Cu Trinh,1,54000,3.55
D1_0021,GAXEO Chicken  Beer  BBQ  Ho Tung Mau,Cafe,Korean,125 Ho Tung Mau,1,125000,3.55
D1_0022,Quan Ut Ut  Barbecue  Beer  Vo Van Kiet,Restaurant,Asian,168 Vo Van Kiet,1,200000,3.55
D1_0023,Oc Dao  Nguyen Trai,Bistro,Vietnamese,212B/C79 Nguyen Trai P. Nguyen Cu Trinh,1,85000,3.25
D1_0024,Sushi Masa  Thach Thi Thanh,Bistro,Japanese,52 Thach Thi Thanh P. Tan Dinh,1,84000,3.85
D1_0025,Nha Hang Tan Hai Van  Nguyen Trai,Restaurant,Vietnamese,158  164 Nguyen Trai,1,190000,3.65
D1_0026,My Y Spaghetti To Go  Tran Hung Dao,Restaurant,Italian,393/9 Tran Hung Dao P. Cau Kho,1,60000,3.5
D1_0027,Beefsteak Hai Con Bo  Nguyen Cu Trinh,Bistro,Asian,85 Nguyen Cu Trinh,1,87500,3.45
D1_0028,An Vat Son Ca  Ca Vien Chien  Vo Thi Sau,Bistro,Vietnamese,24 Vo Thi Sau,1,11500,3.55
D1_0029,Opera Tea Club  Quan Cafe Ngu Thoai Mai 24h,Restaurant,Vietnamese,Lau 1 39 Ly Tu Trong P. Ben Nghe,1,40000,3.85
D1_0030,A Tung  Banh Mi Bo Nuong Bo Cambodia  Cong Quynh,Restaurant,Cambodia,171 Cong Quynh,1,10000,3.7
D1_0031,The Gioi Tau Hu  Tran Dinh Xu,Bistro,Vietnamese,122D Tran Dinh Xu,1,27000,3.4
D1_0032,Sai Gon Oi Cafe  Nguyen Hue,Restaurant,Vietnamese,Tang 5 Chung Cu 42 Nguyen Hue,1,70000,3.55
D1_0033,TacoLeo  Am Thuc Mexico  Ho Hao Hon,Restaurant,Mexican,48B Ho Hao Hon P. Co Giang,1,24500,3.7
D1_0034,Dae Jang Gum  Mplaza Saigon,Cafe,Korean,Tang 1  Mplaza Saigon 39 Le Duan P. Ben Nghe,1,240000,3.85
D1_0035,Tra Sua Xien Que Hot  Cold  Tran Hung Dao,Restaurant,Vietnamese,100 Tran Hung Dao P. Pham Ngu Lao,1,37500,3.25
D1_0036,Sup Cua Bong  Mac Dinh Chi,Bistro,Vietnamese,59C Mac Dinh Chi,1,21000,4.05
D1_0037,Nha Hang Ngon  Pasteur,Restaurant,Vietnamese,160 Pasteur P. Ben Nghe,1,375000,3.4
TP_0310,Banh Bao Chien Nuoc  Luong The Vinh,Restaurant,Taiwanese,6 Nguyen Son P. Phu Tho Hoa,Tan_Phu,9500,3.35
D1_0039,Con Ga Trong Garden 1  Co Bac,Bistro,Cambodia,46 Co Bac P. Cau Ong Lanh,1,200000,3.45
D1_0040,Pacey Cupcakes  Dang Dung,Restaurant,USA,14 Dang Dung P. Tan Dinh,1,48000,3.75
D1_0041,Texas Chicken  Nguyen Thai Hoc,Cafe,USA,115 Nguyen Thai Hoc,1,165000,3.55
