id;Name;Types;Cuisine;Address;District;Rating;Average
D9_001;Gogi_House__Quan_Nuong_Han_Quoc__Vincom_Le_Van_Viet;Bistro;Korea;Tang_L402_Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu;9;8.1;57500
D9_002;Tra_Sua_Wait_Tea_Vietnam__Le_Van_Viet;Coffee;Vietnam;503_Le_Van_Viet,_P._Tang_Nhon_Phu_A;9;9.3;37500
D9_003;Domino’s_Pizza__Le_Van_Viet;Restaurant;Italy;196_Le_Van_Viet,_P._Tang_Nhon_Phu_B;9;7.4;24000
D9_004;King_BBQ__Vua_Nuong_Han_Quoc__Vincom_Le_Van_Viet;Restaurant;Korea;Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu;9;7.6;20000
D9_005;Buffet_Beo_99k;Restaurant;Vietnam;6_Tang_Nhon_Phu,_P._Phuoc_Long_B;9;7.4;15000
D9_006;HIA_Corner__Man_Thien;Coffee;Vietnam;35_Man_Thien,_P._Hiep_Phu;9;9.7;102500
D9_007;Long_Island;Coffee;Vietnam;173_Long_Thuan,_P._Long_Phuoc;9;7.1;127500
D9_008;Grill_&_Cheer__Buffet_Nuong_&_Lau___TTTM_Vincom_Le_Van_Viet;Restaurant;Korea;50_Le_Van_Viet,_Phuong_Hiep_Phu;9;7.6;25000
D9_009;Nijyu_Maru__Vincom_Le_Van_Viet;Restaurant;Japan;Tang_L417,_Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu;9;7.5;20000
D9_010;Hutong__Hotpot_Paradise__Vincom_Le_Van_Viet;Restaurant;China;Tang_4_Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu;9;7.5;37500
D9_011;Manwah_Taiwanese_Hotpot__Vincom_Le_Van_Viet;Restaurant;Taiwan;Tang_L401_Vincom_Le_Van_Viet,_50_Le_Van_Viet;9;8.0;21000
D9_012;GyuKaku_Japanese_BBQ__Vincom_Le_Van_Viet;Restaurant;Japan;L404_Vincom_Le_Van_Viet,_50_Le_Van_Viet,_P._Hiep_Phu;9;6.0;105000
D9_013;Banh_Canh_Ghe_Ngoc_Lam__Le_Van_Viet;Bistro;Vietnam;26_Le_Van_Viet,_P._Hiep_Phu;9;6.8;40000
D9_014;Lau_Bo_Sai_Gon_Vivu__Vincom_Le_Van_Viet;Bar;Vietnam;Tang_4_Vincom_Plaza,_50A_Le_Van_Viet,_P._Hiep_Phu;9;7.8;45000
D9_015;Mr._Tom__Sushi_Duong_Pho__Man_Thien;Bistro;Japan;435_Man_Thien,_P._Tang_Nhon_Phu_A;9;7.1;107500
D9_016;Com_Nha_Tao;Bistro;Vietnam;600_Lien_Phuong,_P._Phu_Huu;9;8.9;50000
D9_017;Tobee_Coffee__Le_Van_Viet;Coffee;Vietnam;147_Le_Van_Viet,_P._Hiep_Phu;9;7.8;37500
D9_018;Street_Hamburger__Sinh_To,_Coffee_&_Tea;Restaurant;Vietnam;53_Le_Loi,_P._Hiep_Phu;9;9.0;135000
D9_019;Lau_Mam_Phong_Lan;Bistro;Vietnam;26_Long_Thuan,_P._Truong_Thanh;9;6.6;25000
D9_020;Tra_Sua_&_Pizza_H2T__Tang_Nhon_Phu;Bistro;Vietnam;18A31_Tang_Nhon_Phu,_P._Phuoc_Long_B;9;7.0;48000
