id;Name;Types;Cuisine;Address;Time;Rating;Average
D4_001;Chilli__Lau_Nuong_Tu_Chon;Bistro;Vietnam;232_Vinh_Khanh;4;6.9;75000
D4_002;WP'S_Waffle_Place__Banh_To_Ong_Nuong__Ton_That_Thuyet;Bistro;Korea;66/15/1_Ton_That_Thuyet,_P._16;4;7.4;42500
D4_003;Ba_Bac__Banh_Trang_Cuon_Tron;Restaurant;Vietnam;40_Duong_So_11;4;6.7;21500
D4_004;Ngoc_Nga__Banh_Flan_Thap_Cam__Duong_20_Thuoc;Restaurant;Vietnam;F88_Hoang_Dieu,_P._8;4;7.5;7500
D4_005;Oc_To__Xom_Chieu;Bistro;Vietnam;224B_Xom_Chieu,_P._15;4;6.6;42500
D4_006;Ning_Cha__Tra_Chanh_Hong_Kong__Nguyen_Khoai;Coffee;Vietnam;122_Nguyen_Khoai,_P._2;4;7.6;22500
D4_007;Mi_Oc_Hen_Di_Lan__Ngo_Van_So;Bistro;Vietnam;2/4_Ngo_Van_So,_P._13;4;6.5;22500
D4_008;Banh_Trang_Kep_Di_Hoa__Ton_That_Thuyet;Restaurant;Vietnam;209/105_Ton_That_Thuyet,_P._3;4;6.7;15000
D4_009;Oc_Oanh_1__Vinh_Khanh;Bistro;Vietnam;534_Vinh_Khanh,_P._8;4;8.9;132500
D4_010;Nha_Hang_Thai_Lan_Ngo_Ri__Duong_38;Restaurant;Thailand;14_Duong_38,_P._4;4;7.0;225000
D4_011;Quan_Ba_Cham__Hu_Tieu_Ho__Ben_Van_Don;Bistro;Vietnam;75_Le_Quoc_Hung;4;7.3;25000
D4_012;Tu_Thuy__Mi_Hen__Ton_That_Thuyet;Restaurant;Vietnam;91_Ton_That_Thuyet,_P._16;4;6.7;17500
D4_013;Di_Hong__Banh_Trang_Cuon_Tron;Restaurant;Vietnam;23_Duong_So_11;4;6.3;26500
D4_014;Ba_Co_Loc_Coc__Nha_Hang_Oc_Doc_La;Restaurant;Vietnam;222_Khanh_Hoi,_P._6;4;6.9;65000
D4_015;Uchi_Sushi;Restaurant;Japan;14_Duong_So_45,_P._6;4;7.9;85000
D4_016;Beno__Mi_Y,_Bo_My,_Com_Bo_Ham__Ben_Van_Don;Bistro;USA;150/27_Ben_Van_Don,_P._6;4;6.5;32500
D4_017;Pha_Lau_Di_Nui__Ton_Dan;Bistro;Vietnam;243/30_Ton_Dan;4;6.4;21500
D4_018;Bun_Bo_Hue_14B;Bistro;Vietnam;14B_Duong_So_46,_P._5;4;8.4;32500
D4_019;Oc_Dao_II__Vinh_Khanh;Bistro;Vietnam;232/123_Vinh_Khanh,_P._10;4;6.4;85500
D4_020;Co_Thao__Pha_Lau_Bo;Restaurant;Vietnam;243/29G_Ton_Dan,_P._15;4;6.2;20000
