id;Name;Types;Cuisine;Address;District;Rating;Average
D12_001;LongBuri_Cancook__Gan_Bo,_Chan_Ga_Sot_Thai;Restaurant;Vietnam;142/34_Thanh_Xuan_22,_P._Thanh_Xuan;12;8.3;100000
D12_002;Nha_Hang_Dai_Phu;Restaurant;Vietnam;56_Nguyen_Van_Qua,_P._Dong_Hung_Thuan;12;7.7;195000
D12_003;Moda_House_Coffee__To_Ky;Coffee;Vietnam;263/90_To_Ky;12;8.0;31000
D12_004;Met_Quan__Bun_Dau_Mam_Tom;Bistro;Vietnam;689B_Nguyen_Van_Qua;12;6.6;60000
D12_005;Kimbap_Tuoi__Shop_Online;Restaurant;Korea;Phan_Van_Hon;12;7.4;30000
D12_006;Khu_Du_Lich_Ben_Xua;Restaurant;Vietnam;39A_Ha_Huy_Giap,_P._Thanh_Loc;12;6.6;190000
D12_007;Quan_An_Han_Quoc__Truong_Chinh;Bistro;Korea;139_Truong_Chinh,_P._Tan_Thoi_Nhat;12;6.7;56000
D12_008;Sky_17_Cafe_&_Restaurant;Restaurant;Vietnam;27_Truong_Chinh,_P._Tan_Thoi;12;6.4;163500
D12_009;Meo_Beo_Tira__Tiramitsu_Matcha__Shop_Online;Restaurant;Vietnam;170_Le_Van_Khuong,_Thoi_An;12;8.8;47500
D12_010;Zolo__Tea_&_Coffee;Coffee;Taiwan;5/1L_To_Ky;12;8.6;32500
D12_011;Oc_Nho_Sai_Gon__Nguyen_Anh_Thu;Bistro;Vietnam;181/4_Nguyen_Thi_Dang,_P._Hiep_Thanh;12;7.7;100000
D12_012;Sado_Chado__Tra_Sua_Nhat_Ban__Nguyen_Anh_Thu;Coffee;Japan;77/6_Nguyen_Anh_Thu,_Ap_Van_Hanh,_P._Trung_My_Tay;12;7.4;37000
D12_013;Com_Chien_Thai_&_Mi_Tron_Ga_Quay_Hong_Kong__Tuk_Tuk;Bistro;Vietnam;7_To_Ky,_P._Tan_Chanh_Hiep;12;8.9;37500
D12_014;Golden_Coffee;Coffee;Vietnam;CV_Phan_Mem_Quang_Trung,_To_Ky;12;6.7;31500
D12_015;Ganh_Dau__Mon_Ngon_Ha_Noi;Bistro;Vietnam;119B_Nguyen_Van_Qua,_P._Dong_Hung_Thuan;12;7.1;119000
D12_016;BUN_THIT_NUONG_DAU_DAU__THANH_XUAN_24;Bistro;Vietnam;207/30/6_Thanh_Xuan_24,_P._Thanh_Xuan;12;8.1;179500
D12_017;Chao_Long_Ba_Tu_Map;Bistro;Vietnam;197_Thanh_Loc_15,_P._Thanh_Loc;12;9.3;37500
D12_018;Lau_De_Duc_Thanh;Bistro;Vietnam;471_Tan_Thoi_Hiep_21,_P_.Tan_Thoi_Hiep;12;6.8;132500
D12_019;Royaltea__Tra_Sua_Hong_Kong__Phan_Van_Hon;Coffee;China;22/14_Phan_Van_Hon,_P._Tan_Thoi_Nhat;12;6.3;48000
D12_020;Venus_Cafe__Nguyen_Van_Qua;Coffee;Vietnam;503C_Nguyen_Van_Qua,_P._Dong_Hung_Thuan;12;6.9;28500
